ResourceID,Provider,ServiceCategory,Cost,UsageAmount,Anomaly_Score,Is_Zombie
i-107829,AWS,Database,49.44301789012021,2.309819927350775,-1,1
i-191726,AWS,Database,49.533107554323,1.5967565881445245,-1,1
i-214509,AWS,Machine Learning,49.83295267025363,3.021981673305392,-1,1
i-268312,AWS,Compute,49.75481492556656,1.5119353524677317,-1,1
i-280691,AWS,Storage,49.785137534941846,1.17234135686435,-1,1
i-285452,AWS,Machine Learning,49.05412261210508,1.0785036286400942,-1,1
i-392070,AWS,Compute,49.965301944265214,3.1454676392347625,-1,1
i-411779,AWS,Compute,49.88373231025594,1.176862792911228,-1,1
i-448762,AWS,Compute,49.46519117419049,2.684459681687565,-1,1
i-476941,AWS,Database,49.79391068032626,2.1890613968691985,-1,1
i-518264,AWS,Database,49.95103840666828,2.5125244728885754,-1,1
i-546416,AWS,Compute,49.87551867741432,3.153109888834461,-1,1
i-608170,AWS,Database,49.486122360555456,1.878416505877,-1,1
i-614821,AWS,Storage,49.48211587790793,1.4639850971998714,-1,1
i-646268,AWS,Networking,49.57664551583485,2.4395997095577964,-1,1
i-675015,AWS,Compute,49.98131959817891,1.6056380310857783,-1,1
i-688143,AWS,Storage,49.5917496418852,1.8813045707177445,-1,1
i-693460,AWS,Compute,49.65775766055096,2.8904349981409925,-1,1
i-725703,AWS,Machine Learning,49.68331899248586,2.944280469175893,-1,1
i-727120,AWS,Machine Learning,49.95353358163885,3.063867543531141,-1,1
i-733845,AWS,Networking,49.933968307987165,1.77284372521068,-1,1
i-741939,AWS,Networking,49.744505075022985,1.8683112989426605,-1,1
i-762662,AWS,Database,49.764092729774895,2.261086886865374,-1,1
i-768184,AWS,Database,49.47502351176978,2.535717067870696,-1,1
i-791654,AWS,Compute,49.91311686925357,3.155499547445169,-1,1
i-829413,AWS,Machine Learning,49.89528920452442,1.161568982705434,-1,1
i-840833,AWS,Machine Learning,49.69666054020304,2.27715063499182,-1,1
i-886405,AWS,Database,49.70874736488668,2.818514556930781,-1,1
i-898843,AWS,Compute,49.63234755859322,1.395056815916883,-1,1
i-942282,AWS,Storage,49.557932805487056,2.7124028570199927,-1,1
i-965297,AWS,Compute,49.9228797017771,1.5960473101759374,-1,1
i-980595,AWS,Database,49.70122431805359,1.4275992181740036,-1,1
i-989525,AWS,Machine Learning,49.73834149132911,2.06079712914262,-1,1
vm-1025,Azure,Networking,55.62936736496373,17.10433222268495,-1,1
vm-1052,Azure,Compute,53.21616621811086,37.6007033117882,-1,1
vm-1054,Azure,Machine Learning,58.81031949746784,51.47169131221733,-1,1
vm-1081,Azure,Storage,57.77313383100526,11.304963174036523,-1,1
vm-1092,Azure,Compute,56.07822573580803,56.742087397914936,-1,1
vm-1102,Azure,Database,54.770569460137054,16.811212112986233,-1,1
vm-1103,Azure,Storage,56.34479816218329,52.76765906443375,-1,1
vm-1122,Azure,Machine Learning,55.22980941724252,66.80000720567143,-1,1
vm-1126,Azure,Machine Learning,56.9684283100554,18.766622456767536,-1,1
vm-1176,Azure,Database,56.946390761909335,64.23221996498424,-1,1
vm-1185,Azure,Networking,59.12143953488607,59.15964843324143,-1,1
vm-1190,Azure,Database,57.721846330591966,22.2409285275578,-1,1
vm-1196,Azure,Database,53.69003525164072,28.19773211571,-1,1
vm-1202,Azure,Machine Learning,58.22619307173785,53.76522061798375,-1,1
vm-1206,Azure,Compute,59.2217872942613,56.06068375041352,-1,1
vm-1250,Azure,Machine Learning,57.25943477700984,30.917356604231813,-1,1
vm-1257,Azure,Database,53.663550007872885,9.823879801356732,-1,1
vm-1260,Azure,Storage,54.895681514218616,20.918803266423467,-1,1
vm-1269,Azure,Machine Learning,55.961498077044965,39.18613462547974,-1,1
vm-1271,Azure,Networking,54.88787768712521,54.16258398752436,-1,1
vm-1295,Azure,Storage,54.852675742569076,52.43623957139558,-1,1
vm-1306,Azure,Compute,55.91218032737094,42.20779266529183,-1,1
vm-1309,Azure,Machine Learning,52.73218132743428,18.71267316163744,-1,1
vm-1334,Azure,Networking,56.8481465121009,28.49133763380561,-1,1
vm-1342,Azure,Database,58.025421452051916,39.58884312676134,-1,1
vm-1360,Azure,Compute,55.29847554027167,57.71656151382674,-1,1
vm-1361,Azure,Storage,54.09012648510456,2.940496587535311,-1,1
vm-1390,Azure,Database,59.111347627831634,22.157469233818507,-1,1
vm-1396,Azure,Networking,58.05387269036063,52.56308565777875,-1,1
vm-1403,Azure,Storage,56.30443414502825,36.6683588965193,-1,1
vm-1428,Azure,Networking,59.37755496056455,11.55956846384505,-1,1
vm-1436,Azure,Networking,58.478829029680526,27.04165150907572,-1,1
vm-1446,Azure,Compute,53.504448218415135,31.23774211820429,-1,1
vm-1474,Azure,Storage,51.5097071847741,4.729697431093334,-1,1
vm-1479,Azure,Networking,52.89273168568738,15.161256856108114,-1,1
vm-1483,Azure,Database,52.68851761619781,24.119014050022486,-1,1
vm-1499,Azure,Storage,57.51338722963096,33.27371532008557,-1,1
vm-1516,Azure,Machine Learning,59.11594885735752,1.830135840171573,-1,1
vm-1522,Azure,Networking,57.99049341171532,61.63321129557537,-1,1
vm-1531,Azure,Compute,52.97474112333596,64.30041947405314,-1,1
vm-1545,Azure,Storage,53.31070720718131,65.5219249544636,-1,1
vm-1548,Azure,Database,54.56251281191804,28.104865768258435,-1,1
vm-1618,Azure,Machine Learning,56.020317498538816,18.42144192568365,-1,1
vm-1624,Azure,Networking,59.03065302975258,40.023788870733576,-1,1
vm-1636,Azure,Networking,57.085570878835846,42.31123065405041,-1,1
vm-1654,Azure,Storage,57.09841599780672,25.80260170360869,-1,1
vm-1673,Azure,Machine Learning,54.79969744605342,45.79824256392384,-1,1
vm-1699,Azure,Machine Learning,59.26163136396335,30.784604798151676,-1,1
vm-1708,Azure,Machine Learning,54.67502554357428,15.768852144820922,-1,1
vm-1718,Azure,Compute,59.015849659795954,18.34954459164618,-1,1
vm-1730,Azure,Database,51.403031847346845,2.4438216244555906,-1,1
vm-1754,Azure,Compute,55.906922868537805,32.73927194456438,-1,1
vm-1774,Azure,Compute,58.35860320234997,58.78036728509076,-1,1
vm-1780,Azure,Networking,56.11354334369139,3.979397873953444,-1,1
vm-1788,Azure,Compute,57.05375037209468,15.626947976860167,-1,1
vm-1789,Azure,Machine Learning,58.14155502943156,35.18085450670007,-1,1
vm-1794,Azure,Compute,56.97233614755287,20.3611834163034,-1,1
vm-1799,Azure,Machine Learning,54.502850213059126,65.45863172084151,-1,1
vm-1800,Azure,Networking,55.437763097007476,63.40851286665221,-1,1
vm-1806,Azure,Machine Learning,58.99899191415372,40.24170481486799,-1,1
vm-1817,Azure,Database,53.83494049869844,31.0333303433782,-1,1
vm-1819,Azure,Networking,52.89958559976285,33.34419931937003,-1,1
vm-1836,Azure,Storage,52.20885002867286,9.195043569010055,-1,1
vm-1929,Azure,Database,56.43201751082289,41.47500674894603,-1,1
vm-1939,Azure,Machine Learning,59.92044676871527,48.02843468179216,-1,1
vm-1990,Azure,Machine Learning,53.92284476417425,66.34067672064906,-1,1
vm-2007,Azure,Networking,57.35277404979718,22.88409278922622,-1,1
vm-2020,Azure,Database,56.343631575031246,21.21158005773758,-1,1
vm-2058,Azure,Machine Learning,54.08406906515896,29.4498339106726,-1,1
vm-2077,Azure,Compute,52.94187620371929,31.127653559277675,-1,1
vm-2090,Azure,Storage,53.5014497804204,59.852712396181616,-1,1
vm-2112,Azure,Machine Learning,53.77839142548283,9.70198070162234,-1,1
vm-2117,Azure,Storage,59.34916818593547,21.49465211940831,-1,1
vm-2136,Azure,Compute,54.69654543697304,52.506176999922495,-1,1
vm-2137,Azure,Database,55.15004400210654,47.73089610180203,-1,1
vm-2149,Azure,Networking,58.51192793545266,61.2988476068217,-1,1
vm-2151,Azure,Compute,57.33691079374611,30.16600251403408,-1,1
vm-2200,Azure,Machine Learning,57.25407275973071,57.63180698921484,-1,1
vm-2207,Azure,Networking,52.4436857179093,17.599387378763186,-1,1
vm-2230,Azure,Storage,55.58348815851421,39.42555770064209,-1,1
vm-2242,Azure,Database,59.31526385546727,32.78146948761567,-1,1
vm-2261,Azure,Machine Learning,52.74265281763464,31.987537777981515,-1,1
vm-2281,Azure,Networking,54.38363133955375,32.24288778450977,-1,1
vm-2283,Azure,Machine Learning,58.95087864671573,3.8757900226773576,-1,1
vm-2290,Azure,Compute,59.77538173127528,38.22852894308884,-1,1
vm-2298,Azure,Networking,58.49019172801326,64.54581240630479,-1,1
vm-2307,Azure,Storage,58.31784018658946,17.613138245286528,-1,1
vm-2343,Azure,Database,55.85978678923778,19.54370434930413,-1,1
vm-2348,Azure,Storage,57.13596471461228,35.35316387744172,-1,1
vm-2377,Azure,Compute,59.09928269673449,6.970463470487721,-1,1
vm-2384,Azure,Database,58.15643509365701,34.00595701468501,-1,1
vm-2384,Azure,Networking,53.46935015027715,62.31567499264576,-1,1
vm-2390,Azure,Database,56.27994951435336,58.0896125643839,-1,1
vm-2399,Azure,Storage,54.935724855441286,30.53098185967432,-1,1
vm-2411,Azure,Database,53.73375302886082,40.640539493773964,-1,1
vm-2411,Azure,Networking,56.351580689153806,33.74129379575136,-1,1
vm-2416,Azure,Networking,57.40082440261092,8.421877198506875,-1,1
vm-2417,Azure,Database,59.55802143579446,9.131439951792249,-1,1
vm-2425,Azure,Storage,59.01756862008569,39.69589188597741,-1,1
vm-2485,Azure,Machine Learning,57.31545512069892,17.170677814505808,-1,1
vm-2502,Azure,Machine Learning,55.316563957672045,29.78483575748543,-1,1
vm-2525,Azure,Networking,56.83269284351552,46.792225328078665,-1,1
vm-2571,Azure,Machine Learning,59.63074405903593,19.60930167101138,-1,1
vm-2576,Azure,Storage,54.11013833677482,2.836271535577868,-1,1
vm-2584,Azure,Database,53.00922952449703,64.21596468610636,-1,1
vm-2589,Azure,Compute,55.22745593904477,46.26207081451437,-1,1
vm-2611,Azure,Compute,54.03537385344748,43.32397784461349,-1,1
vm-2614,Azure,Machine Learning,57.53526694003802,39.022451057046496,-1,1
vm-2622,Azure,Compute,53.59691266097114,29.109968353074514,-1,1
vm-2633,Azure,Networking,57.52495683416856,7.455402901256212,-1,1
vm-2648,Azure,Compute,59.56517896150255,10.269043339444568,-1,1
vm-2681,Azure,Machine Learning,58.01135526336936,38.77728731423153,-1,1
vm-2684,Azure,Compute,58.30426350258592,54.83909309134165,-1,1
vm-2714,Azure,Storage,55.124206018792925,59.52766692981256,-1,1
vm-2724,Azure,Storage,56.252345632905865,10.657731852292104,-1,1
vm-2762,Azure,Machine Learning,58.17205862840026,26.58068841072909,-1,1
vm-2763,Azure,Machine Learning,58.03253040924783,43.8898706922284,-1,1
vm-2781,Azure,Machine Learning,57.85566394974796,66.2959258102536,-1,1
vm-2797,Azure,Storage,59.64523722924754,33.09295647470484,-1,1
vm-2813,Azure,Machine Learning,52.648928600584334,20.760521179223023,-1,1
vm-2839,Azure,Database,55.11943853242719,60.23707938400814,-1,1
vm-2850,Azure,Storage,56.095213251639656,21.01752805437336,-1,1
vm-2859,Azure,Storage,56.89529605533159,2.216079197823966,-1,1
vm-2863,Azure,Compute,57.542365554664016,37.86145430926992,-1,1
vm-2871,Azure,Storage,52.561392057718855,15.990183187741945,-1,1
vm-2890,Azure,Compute,54.34104602126027,14.33426073562596,-1,1
vm-2901,Azure,Compute,57.05382143449861,4.0070509950796325,-1,1
vm-2910,Azure,Networking,52.87078799262943,36.095624587384286,-1,1
vm-2916,Azure,Storage,55.91796948867072,22.26539860146535,-1,1
vm-2924,Azure,Storage,56.16772887857335,18.66391647978713,-1,1
vm-2932,Azure,Compute,59.75875084790199,53.55878158997958,-1,1
vm-2936,Azure,Networking,56.03729932735032,15.560500649705547,-1,1
vm-2939,Azure,Compute,57.08083145562817,46.64475537154938,-1,1
vm-2958,Azure,Database,54.85535569237216,24.371696033232404,-1,1
vm-3013,Azure,Machine Learning,55.279844601857135,55.42029893192792,-1,1
vm-3016,Azure,Database,54.224970084806365,23.684203567856745,-1,1
vm-3016,Azure,Networking,57.397922351353856,55.27585665559406,-1,1
vm-3030,Azure,Machine Learning,59.22399147825078,23.084175039849008,-1,1
vm-3069,Azure,Networking,52.70631135754605,1.706149974421032,-1,1
vm-3082,Azure,Networking,58.31788271706599,48.57411020150342,-1,1
vm-3098,Azure,Machine Learning,59.48291478979253,8.988400028501587,-1,1
vm-3113,Azure,Storage,56.29718266681881,7.8420692261246305,-1,1
vm-3121,Azure,Networking,58.808130228289976,56.83138707991456,-1,1
vm-3126,Azure,Networking,59.58287435574014,10.374464088494712,-1,1
vm-3139,Azure,Database,56.60313044828574,38.95336450407992,-1,1
vm-3142,Azure,Database,56.71762596317088,6.315115880141719,-1,1
vm-3152,Azure,Compute,57.16422066319506,3.486362263336625,-1,1
vm-3152,Azure,Database,56.40521961757334,40.70877065268882,-1,1
vm-3165,Azure,Networking,52.82746126694119,36.09577339145025,-1,1
vm-3169,Azure,Compute,51.64219091247588,10.914175664542247,-1,1
vm-3206,Azure,Networking,51.344894975235846,8.623470699797348,-1,1
vm-3238,Azure,Networking,55.63337850394589,21.256165578004396,-1,1
vm-3250,Azure,Machine Learning,59.458414031528,26.54058563456734,-1,1
vm-3258,Azure,Machine Learning,52.58276921353746,26.15313959986986,-1,1
vm-3263,Azure,Machine Learning,57.59926943010876,8.501960028961552,-1,1
